time,sentiment
2025-01-01 08:00,-0.251
2025-01-01 08:02,0.901
2025-01-01 08:04,0.464
2025-01-01 08:06,0.197
2025-01-01 08:08,-0.688
2025-01-01 08:10,-0.688
2025-01-01 08:12,-0.884
2025-01-01 08:14,0.732
2025-01-01 08:16,0.202
2025-01-01 08:18,0.416
2025-01-01 08:20,-0.959
2025-01-01 08:22,0.94
2025-01-01 08:24,0.665
2025-01-01 08:26,-0.575
2025-01-01 08:28,-0.636
2025-01-01 08:30,-0.633
2025-01-01 08:32,-0.392
2025-01-01 08:34,0.05
2025-01-01 08:36,-0.136
2025-01-01 08:38,-0.418
2025-01-01 08:40,0.224
2025-01-01 08:42,-0.721
2025-01-01 08:44,-0.416
2025-01-01 08:46,-0.267
2025-01-01 08:48,-0.088
2025-01-01 08:50,0.57
2025-01-01 08:52,-0.601
2025-01-01 08:54,0.028
2025-01-01 08:56,0.185
2025-01-01 08:58,-0.907
2025-01-01 09:00,0.215
2025-01-01 09:02,-0.659
2025-01-01 09:04,-0.87
2025-01-01 09:06,0.898
2025-01-01 09:08,0.931
2025-01-01 09:10,0.617
2025-01-01 09:12,-0.391
2025-01-01 09:14,-0.805
2025-01-01 09:16,0.368
2025-01-01 09:18,-0.12
2025-01-01 09:20,-0.756
2025-01-01 09:22,-0.01
2025-01-01 09:24,-0.931
2025-01-01 09:26,0.819
2025-01-01 09:28,-0.482
2025-01-01 09:30,0.325
2025-01-01 09:32,-0.377
2025-01-01 09:34,0.04
2025-01-01 09:36,0.093
2025-01-01 09:38,-0.63
2025-01-01 09:40,0.939
2025-01-01 09:42,0.55
2025-01-01 09:44,0.879
2025-01-01 09:46,0.79
2025-01-01 09:48,0.196
2025-01-01 09:50,0.844
2025-01-01 09:52,-0.823
2025-01-01 09:54,-0.608
2025-01-01 09:56,-0.91
2025-01-01 09:58,-0.349
2025-01-01 10:00,-0.223
2025-01-01 10:02,-0.457
2025-01-01 10:04,0.657
2025-01-01 10:06,-0.286
2025-01-01 10:08,-0.438
2025-01-01 10:10,0.085
2025-01-01 10:12,-0.718
2025-01-01 10:14,0.604
2025-01-01 10:16,-0.851
2025-01-01 10:18,0.974
2025-01-01 10:20,0.544
2025-01-01 10:22,-0.603
2025-01-01 10:24,-0.989
2025-01-01 10:26,0.631
2025-01-01 10:28,0.414
2025-01-01 10:30,0.458
2025-01-01 10:32,0.543
2025-01-01 10:34,-0.852
2025-01-01 10:36,-0.283
2025-01-01 10:38,-0.768
2025-01-01 10:40,0.726
2025-01-01 10:42,0.247
2025-01-01 10:44,-0.338
2025-01-01 10:46,-0.873
2025-01-01 10:48,-0.378
2025-01-01 10:50,-0.35
2025-01-01 10:52,0.459
2025-01-01 10:54,0.275
2025-01-01 10:56,0.774
2025-01-01 10:58,-0.056
2025-01-01 11:00,-0.761
2025-01-01 11:02,0.426
2025-01-01 11:04,0.522
2025-01-01 11:06,0.123
2025-01-01 11:08,0.542
2025-01-01 11:10,-0.012
2025-01-01 11:12,0.045
2025-01-01 11:14,-0.145
2025-01-01 11:16,-0.949
2025-01-01 11:18,-0.784
2025-01-01 11:20,-0.937
2025-01-01 11:22,0.273
2025-01-01 11:24,-0.371
2025-01-01 11:26,0.017
2025-01-01 11:28,0.815
2025-01-01 11:30,-0.501
2025-01-01 11:32,-0.179
2025-01-01 11:34,0.511
2025-01-01 11:36,-0.542
2025-01-01 11:38,-0.846
2025-01-01 11:40,-0.42
2025-01-01 11:42,-0.678
2025-01-01 11:44,0.859
2025-01-01 11:46,0.616
2025-01-01 11:48,0.267
2025-01-01 11:50,0.743
2025-01-01 11:52,0.607
2025-01-01 11:54,-0.627
2025-01-01 11:56,0.785
2025-01-01 11:58,0.079
2025-01-01 12:00,0.615
2025-01-01 12:02,0.792
2025-01-01 12:04,-0.364
2025-01-01 12:06,-0.78
2025-01-01 12:08,-0.544
2025-01-01 12:10,-0.146
2025-01-01 12:12,0.636
2025-01-01 12:14,0.721
2025-01-01 12:16,-0.986
2025-01-01 12:18,0.021
2025-01-01 12:20,-0.165
2025-01-01 12:22,-0.556
2025-01-01 12:24,-0.76
2025-01-01 12:26,-0.325
2025-01-01 12:28,0.886
2025-01-01 12:30,-0.354
2025-01-01 12:32,0.038
2025-01-01 12:34,0.406
2025-01-01 12:36,-0.273
2025-01-01 12:38,0.944
2025-01-01 12:40,0.925
2025-01-01 12:42,-0.496
2025-01-01 12:44,-0.006
2025-01-01 12:46,-0.398
2025-01-01 12:48,-0.43
2025-01-01 12:50,-0.926
2025-01-01 12:52,0.219
2025-01-01 12:54,0.005
2025-01-01 12:56,-0.897
2025-01-01 12:58,-0.443
2025-01-01 13:00,0.817
2025-01-01 13:02,-0.521
2025-01-01 13:04,-0.71
2025-01-01 13:06,-0.021
2025-01-01 13:08,0.971
2025-01-01 13:10,-0.516
2025-01-01 13:12,0.344
2025-01-01 13:14,0.523
2025-01-01 13:16,-0.525
2025-01-01 13:18,0.456
2025-01-01 13:20,-0.264
2025-01-01 13:22,0.265
2025-01-01 13:24,0.267
2025-01-01 13:26,0.072
2025-01-01 13:28,-0.819
2025-01-01 13:30,0.671
2025-01-01 13:32,-0.358
2025-01-01 13:34,-0.627
2025-01-01 13:36,-0.918
2025-01-01 13:38,0.182
2025-01-01 13:40,0.355
2025-01-01 13:42,-0.967
2025-01-01 13:44,0.024
2025-01-01 13:46,-0.547
2025-01-01 13:48,0.29
2025-01-01 13:50,-0.651
2025-01-01 13:52,0.382
2025-01-01 13:54,-0.227
2025-01-01 13:56,0.873
